date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:17	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2028%20Apr%202022%2007:46:17%20GMT	https://moon-template.webflow.io/posts/coffee-sugar-chicory-seasonal-espresso-barista-americano	/home/hardi/websites/Moon/moon-template.webflow.io/posts/coffee-sugar-chicory-seasonal-espresso-barista-americano	(from https://moon-template.webflow.io/)
14:46:18	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2028%20Apr%202022%2007:46:18%20GMT	https://moon-template.webflow.io/categories/music	/home/hardi/websites/Moon/moon-template.webflow.io/categories/music	(from https://moon-template.webflow.io/)
14:46:19	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2028%20Apr%202022%2007:46:19%20GMT	https://moon-template.webflow.io/posts/coffee-variety-macchiato-as-organic-ut-variety-caffeine-americano	/home/hardi/websites/Moon/moon-template.webflow.io/posts/coffee-variety-macchiato-as-organic-ut-variety-caffeine-americano	(from https://moon-template.webflow.io/)
14:46:20	16/16	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2028%20Apr%202022%2007:46:20%20GMT	https://moon-template.webflow.io/categories/travel	/home/hardi/websites/Moon/moon-template.webflow.io/categories/travel	(from https://moon-template.webflow.io/)
14:46:21	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2028%20Apr%202022%2007:46:21%20GMT	https://moon-template.webflow.io/posts/half-and-half-variety-milk-viennese-body-cappuccino	/home/hardi/websites/Moon/moon-template.webflow.io/posts/half-and-half-variety-milk-viennese-body-cappuccino	(from https://moon-template.webflow.io/)
14:46:23	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=5e4b19aa01d14d49bd4eabde	/home/hardi/websites/Moon/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c82f33.js	(from https://moon-template.webflow.io/)
14:46:23	48606/48606	---M-Z	200	added ('OK')	text/javascript	etag:%2272a1aacae7139dbc4deda3f4114aaa0e%22	https://assets.website-files.com/5e4b19aa01d14d49bd4eabde/js/webflow.a8ec59595.js	/home/hardi/websites/Moon/assets.website-files.com/5e4b19aa01d14d49bd4eabde/js/webflow.a8ec59595.js	(from https://moon-template.webflow.io/)
14:46:24	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2028%20Apr%202022%2007:46:24%20GMT	https://moon-template.webflow.io/about	/home/hardi/websites/Moon/moon-template.webflow.io/about	(from https://moon-template.webflow.io/)
14:46:24	57458/57458	---M--	200	added ('OK')	image/jpeg	etag:%220e4f826dfc34330d5f2ce37b8c9d436c%22	https://assets.website-files.com/5630650d792da40716871a07/56cf68a9e668d307046b496e_photo-1433763472432-7970c9ba5349-bw.jpg	/home/hardi/websites/Moon/assets.website-files.com/5630650d792da40716871a07/56cf68a9e668d307046b496e_photo-1433763472432-7970c9ba5349-bw.jpg	(from https://moon-template.webflow.io/posts/steamed-siphon-froth-mazagran-cafe-au-lait)
14:46:24	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2028%20Apr%202022%2007:46:24%20GMT	https://moon-template.webflow.io/contact	/home/hardi/websites/Moon/moon-template.webflow.io/contact	(from https://moon-template.webflow.io/)
14:46:25	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2028%20Apr%202022%2007:46:25%20GMT	https://moon-template.webflow.io/categories/tech	/home/hardi/websites/Moon/moon-template.webflow.io/categories/tech	(from https://moon-template.webflow.io/)
14:46:25	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2028%20Apr%202022%2007:46:25%20GMT	https://moon-template.webflow.io/posts/cafe-au-lait-turkish-doppio-ristretto	/home/hardi/websites/Moon/moon-template.webflow.io/posts/cafe-au-lait-turkish-doppio-ristretto	(from https://moon-template.webflow.io/)
14:46:26	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2028%20Apr%202022%2007:46:25%20GMT	https://moon-template.webflow.io/posts/coffee-sugar-chicory-seasonal-espresso-barista-americano	/home/hardi/websites/Moon/moon-template.webflow.io/posts/coffee-sugar-chicory-seasonal-espresso-barista-americano	(from https://moon-template.webflow.io/)
14:46:26	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2028%20Apr%202022%2007:46:25%20GMT	https://moon-template.webflow.io/categories/art	/home/hardi/websites/Moon/moon-template.webflow.io/categories/art	(from https://moon-template.webflow.io/)
14:46:26	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2028%20Apr%202022%2007:46:26%20GMT	https://moon-template.webflow.io/categories/music	/home/hardi/websites/Moon/moon-template.webflow.io/categories/music	(from https://moon-template.webflow.io/)
14:46:26	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2028%20Apr%202022%2007:46:26%20GMT	https://moon-template.webflow.io/posts/coffee-variety-macchiato-as-organic-ut-variety-caffeine-americano	/home/hardi/websites/Moon/moon-template.webflow.io/posts/coffee-variety-macchiato-as-organic-ut-variety-caffeine-americano	(from https://moon-template.webflow.io/)
14:46:27	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2028%20Apr%202022%2007:46:27%20GMT	https://moon-template.webflow.io/posts/half-and-half-variety-milk-viennese-body-cappuccino	/home/hardi/websites/Moon/moon-template.webflow.io/posts/half-and-half-variety-milk-viennese-body-cappuccino	(from https://moon-template.webflow.io/)
14:46:27	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2028%20Apr%202022%2007:46:27%20GMT	https://moon-template.webflow.io/categories/travel	/home/hardi/websites/Moon/moon-template.webflow.io/categories/travel.html	(from https://moon-template.webflow.io/)
14:46:28	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2028%20Apr%202022%2007:46:27%20GMT	https://moon-template.webflow.io/about	/home/hardi/websites/Moon/moon-template.webflow.io/about	(from https://moon-template.webflow.io/)
14:46:28	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2028%20Apr%202022%2007:46:27%20GMT	https://moon-template.webflow.io/contact	/home/hardi/websites/Moon/moon-template.webflow.io/contact	(from https://moon-template.webflow.io/)
14:46:28	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2028%20Apr%202022%2007:46:28%20GMT	https://moon-template.webflow.io/categories/tech	/home/hardi/websites/Moon/moon-template.webflow.io/categories/tech	(from https://moon-template.webflow.io/)
14:46:28	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2028%20Apr%202022%2007:46:28%20GMT	https://moon-template.webflow.io/posts/cafe-au-lait-turkish-doppio-ristretto	/home/hardi/websites/Moon/moon-template.webflow.io/posts/cafe-au-lait-turkish-doppio-ristretto	(from https://moon-template.webflow.io/)
14:46:29	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2028%20Apr%202022%2007:46:29%20GMT	https://moon-template.webflow.io/categories/art	/home/hardi/websites/Moon/moon-template.webflow.io/categories/art	(from https://moon-template.webflow.io/)
14:46:29	16/16	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2028%20Apr%202022%2007:46:29%20GMT	https://moon-template.webflow.io/posts/coffee-sugar-chicory-seasonal-espresso-barista-americano	/home/hardi/websites/Moon/moon-template.webflow.io/posts/coffee-sugar-chicory-seasonal-espresso-barista-americano	(from https://moon-template.webflow.io/)
14:46:29	16/16	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2028%20Apr%202022%2007:46:29%20GMT	https://moon-template.webflow.io/categories/music	/home/hardi/websites/Moon/moon-template.webflow.io/categories/music	(from https://moon-template.webflow.io/)
14:46:29	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2028%20Apr%202022%2007:46:29%20GMT	https://moon-template.webflow.io/posts/coffee-variety-macchiato-as-organic-ut-variety-caffeine-americano	/home/hardi/websites/Moon/moon-template.webflow.io/posts/coffee-variety-macchiato-as-organic-ut-variety-caffeine-americano	(from https://moon-template.webflow.io/)
14:46:31	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2028%20Apr%202022%2007:46:30%20GMT	https://moon-template.webflow.io/categories/travel	/home/hardi/websites/Moon/moon-template.webflow.io/categories/travel.html	(from https://moon-template.webflow.io/)
14:46:31	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2028%20Apr%202022%2007:46:30%20GMT	https://moon-template.webflow.io/posts/half-and-half-variety-milk-viennese-body-cappuccino	/home/hardi/websites/Moon/moon-template.webflow.io/posts/half-and-half-variety-milk-viennese-body-cappuccino	(from https://moon-template.webflow.io/)
